Sum of score,Column Labels,,,,
Row Labels,qa-kis,tkis,trake (Imported),vkis (Imported),Grand Total
LoveLAND2,361.398,1107.473167,225.3785833,433.5341667,2127.783917
WuDButterflies,351.7738333,1115.6205,216.56625,430.1404167,2114.101
Non-chalant,388.7911667,1069.8125,110.2084167,421.4829167,1990.295
Agent P,348.7691667,1012.456833,261.6321667,312.163125,1935.021292
Team TH3N,383.9946667,1004.6065,67.00483333,438.5770833,1894.183083
LHP-B-JOB,361.202,845.8791667,187.5396667,278.5033333,1673.124167
-4°,290.2025,856.2561667,93.14258333,425.9533333,1665.554583
Bananini 🍌,207.3571667,956.0621667,67.30791667,433.5208333,1664.248083
PNIT X-CLIP,242.2978333,951.0211667,61.67216667,326.991875,1581.983042
YOLO2,283.3996667,908.8206667,71.305,287.6195833,1551.144917
Ccoder,183.0918333,915.549,19.01533333,250.9664583,1368.622625
LHP_MìĐầyTôm,389.226,723.9096667,34.75416667,114.2102083,1262.100042
1STAR,218.158,776.9456667,24.82808333,124.98,1144.91175
Challengers,123.2418333,627.0675,32.211,331.1389583,1113.659292
Team404,283.6593333,528.2781667,30.917,180.7204167,1023.574917
Watt'up Hamburgers,70.855,437.6648333,27.1835,131.5939583,667.2972917
Phú Nhuận,147.051,64.95616667,56.55933333,76.73875,345.30525
Haligtree,24.73316667,0,0,95.15916667,119.8923333
JET SAIGON,0,0,0,0,0
Tan Binh AI Residency,0,0,0,0,0
cApICrush,0,0,0,0,0
Solo_leveling,0,0,0,0,0
google collapse,0,0,0,0,0
TTDBQAI,0,0,0,0,0
Grand Total,4659.202167,13902.37983,1587.226,5093.994583,25242.80258
